InsertSort	QuickSort	MergeSort
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	1
0	0	1
0	0	1
0	1	1
0	1	1
0	1	1
0	1	1
0	1	1
0	1	1
0	1	1
0	1	1
0	1	1
0	1	2
0	1	1
0	1	2
0	1	1
0	1	2
0	1	2
0	1	2
0	2	2
0	2	2
0	2	2
0	1	2
0	2	2
0	1	3
0	1	2
0	2	3
0	2	2
0	2	3
0	2	2
0	2	3
0	3	3
0	2	3
0	2	3
0	2	3
0	3	3
0	3	4
0	3	3
0	3	4
0	3	3
0	3	4
0	3	4
0	3	4
0	4	3
0	3	4
0	3	4
0	4	4
0	4	4
0	3	4
0	4	6
0	4	5
0	4	4
0	4	5
0	4	4
0	4	5
0	5	10
0	5	5
0	4	5
0	5	5
0	5	5
0	4	6
0	4	5
0	4	6
0	5	5
0	5	6
0	4	6
0	4	6
0	5	6
0	5	6
0	5	6
0	4	6
0	4	6
0	4	7
0	6	6
0	6	7
0	6	6
0	5	7
0	6	7
0	6	7
0	5	6
0	4	8
0	4	7
0	4	7
0	6	7
0	7	8
0	7	8
0	7	8
0	7	7
0	7	9
0	6	8
0	8	9
0	7	7
0	6	9
0	8	8
0	8	8
0	8	8
0	7	9
0	8	9
0	8	11
0	8	8
0	7	10
0	7	9
0	7	9
0	8	8
0	8	10
0	7	9
0	8	10
0	8	9
0	9	10
0	9	10
0	7	10
0	8	9
0	8	11
0	9	11
0	8	11
0	10	10
0	10	11
0	9	11
0	9	11
0	10	10
0	10	12
0	10	11
0	10	11
0	9	10
0	9	12
0	10	11
0	11	22
0	11	12
0	11	13
0	10	12
0	9	12
0	9	12
0	11	13
0	11	12
0	11	13
0	10	12
0	9	13
0	11	13
0	11	13
0	11	12
0	12	13
0	12	13
0	12	13
0	10	12
0	12	14
0	11	13
0	13	14
0	11	13
0	13	14
0	13	14
0	12	14
0	13	13
0	13	15
0	13	14
0	13	15
0	13	14
0	14	15
0	14	15
0	14	15
0	14	14
0	14	16
0	14	15
0	14	15
0	14	14
0	15	16
0	15	15
0	14	16
